id,spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A2,A3,DT
a0004183,2004183,"  4183 Cuno (1959 LM)",4183,Cuno,,Y,Y,14.1,,,,,,,3.651,,0.097,3.5595,,,,,Sq,,,0.102,"JPL 449",2459000.5,59000,20200531.0000000,J2000,.6341387636243487,1.983072161628205,.7255292328754304,6.704037023888967,294.8674921347591,236.349005699506,331.350530072703,3.240615090380979,.3529362744090001,2459081.674625575881,20200820.1746256,1020.01416715476,2.79264659043055,.0283304,11.025341768,1.79466,3.572,2.4177E-8,2.1867E-9,4.745E-8,3.309E-6,2.7046E-5,2.7135E-5,4.4452E-6,3.5733E-9,5.8376E-10,1.269E-5,1.6871E-6,APO,"Otto Matic",22171,1959-06-05,2020-02-16,2397,1,0,0,.46588,,,,,
a0004197,2004197,"  4197 Morpheus (1982 TA)",4197,Morpheus,,Y,N,14.9,,,,,,,1.8,,0.37,3.5380,,,,,Sq,,,,"JPL 128",2459000.5,59000,20200531.0000000,J2000,.7724192999464498,2.295124783662911,.5223261049762583,12.5941031954914,7.044695502930868,122.511031324769,263.2702196075039,4.067923462349563,.2834618517514941,2459341.744438342615,20210507.2444383,1270.012164866564,3.47710380524727,.0983462,38.273390654,1.26723,3.090,2.8125E-8,4.2354E-9,6.5305E-8,4.9287E-6,1.1194E-5,1.2404E-5,4.3994E-6,7.5069E-9,7.8465E-10,1.6313E-5,3.5155E-6,APO,"Otto Matic",24111,1954-09-03,2020-09-07,832,4,2,0,.48641,,,,,
